ferox	大湖鳟
carbuncle	红宝石
ungainly	难看地
elytrum	翅基
antipathetic	嫌恶
jesselton	亚庇(马来西亚沙巴州首府哥打基纳巴卢
aerocade	飞行队
druidical	督伊德教徒的
city	全体居民
seventeen	十七
womanize	玩女人
upend	颠倒
kitty	基蒂
spherosome	圆球体
examine	考试
intercrop	间作
apt	切题
neuroplasm	神经原形质
complement	补足物
menses	月经期
reduplication	复制器
induration	硬化
taligrade	拐脚的
milimeter	公里
munificence	慷慨给与
moonstruck	耽于幻想
multiparous	一胎多子
meshugge	=meshuga
receptor	受体
firefight	交火
inducement	诱因
terebic	芸香酸的
volatilise	=volatilize
zalophus	海驴属动物
unpleasure	不满足
zany	小丑
phloroglucinol	根皮酚
mixture	混合
maladaptive	不适应
rhymeless	无韵
weather	迎风
parathyroidectomize	`dektEmI/
hydrobiology	水生生物学
umbellule	次生伞形花序
niggard	小气的
zonked	服过麻醉药的
fuel	加燃料
megalithic	使用巨石
seclusive	喜隐居的
containershipping	货柜运输
experienced	富有经验
guicowar	=Gaekwar
instrumentalism	工具謘t/
brute	畜生
biennialy	每二年一次
improvvisatrice	女即兴创作者
tacoma	塔科马
merry	愉快
phylloid	叶状的
sophisticate	使变得世故
unshifted	未更换的
hydracid	氢酸
coedit	合作编辑
